start date,end date,data source,R,t0,P2P raw,P2P corrected,P2P simple,P2P no t0,data points
2024-11-27,2024-11-28,temp,0.0025,-3.5,50.85762457151865,1.1298278534819275,25.48171125114765,20.622582722655146,89
2024-12-01,2024-12-02,temp,0.0145,-12.0,38.94276455418708,40.638177544116004,46.10480487426033,41.497556899008025,88
2024-12-02,2024-12-03,temp,0.0025,6.5,0.11756923248749018,0.013149188695827263,0.14901365067209582,0.15166233038439714,15
2024-12-03,2024-12-04,temp,0.0025,-2.0,0.41088550063265217,0.18577420333296857,0.33382471172703987,0.2519995884479158,47
2024-12-04,2024-12-05,temp,0.0025,0.0,0.6933577265713353,0.2250809563675631,0.5713548874178969,0.2250809563675631,69
2024-12-05,2024-12-06,temp,0.0265,0.0,0.8509546932910439,0.14333081819699345,0.7147398215554617,0.14333081819699345,219
2024-12-06,2024-12-07,temp,0.0025,-6.0,56.63035061670254,0.3728539781851481,31.67033604463414,1.5927442444757958,63
2024-12-09,2024-12-10,temp,0.0025,4.0,0.30703352350121094,0.03883807908190562,0.27813035373782924,0.9081073105158737,63
2024-12-10,2024-12-11,temp,0.0025,-11.5,0.9599748426513557,0.7702022488380251,1.004990618279848,0.866042977527016,260
2024-12-11,2024-12-12,temp,0.0495,2.5,2.263337159241388,0.7589895552326595,1.5536352733261651,0.7605525947906244,173
2024-12-12,2024-12-13,temp,0.0025,-1.5,1.2540127899027596,0.2165729679284354,1.3717782414009392,0.24255037763267495,100
2024-12-13,2024-12-14,temp,0.0025,2.0,1.1447873060551714,0.23738850320395954,1.4403646470363896,0.2960996789878294,72
2024-12-14,2024-12-15,temp,0.0495,9.5,0.44956612875095203,0.18242542824232544,0.5017322730602629,0.18696810840551592,65
2024-12-15,2024-12-16,temp,0.0025,-3.0,2.165353793644769,0.16343815567588393,2.3711193460146944,0.3123645106394406,45
2024-12-16,2024-12-17,temp,0.0485,1.5,0.5353866293935425,0.20455376214039234,0.4892163919409427,0.21521820105729716,123
2024-12-17,2024-12-18,temp,0.011500000000000002,14.5,1.1180399250164257,0.3239881607731121,1.05447266629902,0.8103544041128714,482
2024-12-18,2024-12-19,temp,0.0025,0.0,0.9690966494679998,0.8141618012655911,0.9773075888623666,0.8141618012655911,576
2024-12-19,2024-12-20,temp,0.0085,10.0,0.9604502687249834,0.21391205350765574,0.8365050842004038,0.4329123109387183,570
2024-12-20,2024-12-21,temp,0.0035,-7.0,1.369204258005439,0.30130151854499587,1.3739778999416217,0.6115655178070298,662
2024-12-21,2024-12-22,temp,0.006500000000000001,6.0,1.2626634573718505,0.1350149923055568,1.2757950230576327,0.4093506103244806,592
2024-12-22,2024-12-23,temp,0.0025,-0.5,1.8143862712221264,0.918062782057639,1.7776517003346939,0.9396151324265247,267
2024-12-23,2024-12-24,temp,0.0025,14.0,0.5050547420634004,0.25947788956395357,0.6521255175624461,0.6138094841680868,100
2024-12-24,2024-12-25,temp,0.017499999999999998,2.5,2.061359817558383,0.2039788176574433,1.1345888810225802,0.22656427289399517,591
2024-12-18,2024-12-19,thermo,0.0035,3.5,0.9690832708744495,0.8075044815255694,0.8751015690289918,0.8118012836910538,576
2024-12-19,2024-12-20,thermo,0.011500000000000002,8.5,0.9603436415019715,0.208136036989103,0.7565736730599255,0.3450067892859252,563
2024-12-20,2024-12-21,thermo,0.0055,-9.0,1.345825051387024,0.3531699982230876,1.2077094308500236,0.6434074516964685,587
2024-12-21,2024-12-22,thermo,0.0105,4.0,1.2626634573718505,0.1594605956558155,1.1346889585092725,0.23659593715094474,592
2024-12-22,2024-12-23,thermo,0.0025,-6.5,1.8145052920203426,1.0215031382040891,1.6258680613799044,1.5875712016544625,266
2024-12-23,2024-12-24,thermo,0.0025,11.0,0.5050547420634004,0.2039571389521555,0.659341962454711,0.6702767099086486,100
2024-12-24,2024-12-25,thermo,0.0205,-1.0,2.061359817558383,0.20775719253229852,0.9849620743086618,0.2183050343185826,591
