id,value,feed_id,created_at,lat,lon,ele
0FQYB06F688ATA1KEZVJ2SRNPB,1176590.0,2888023,2024-11-14 02:56:36 UTC,,,
0FQYB2VHR75EGYPSB2NJ696KNC,1176900.0,2888023,2024-11-14 03:01:15 UTC,,,
0FQYB5GFQPBEHGQ6JD6W3HQV0G,1177240.0,2888023,2024-11-14 03:05:53 UTC,,,
0FQYB6TXPHV1AMN5HXGMFKWEAM,1177420.0,2888023,2024-11-14 03:08:12 UTC,,,
0FQYB9FKCZ2M0ZXRW25MEVX0R6,1177750.0,2888023,2024-11-14 03:12:50 UTC,,,
0FQYBC4DV5PN9ZS999DD1SS3A6,1178050.0,2888023,2024-11-14 03:17:28 UTC,,,
0FQYBESB3HJJDFQMRQGDZ2G4V7,1178370.0,2888023,2024-11-14 03:22:06 UTC,,,
0FQYBK483X79MPXTA8RHTDN0YH,1178770.0,2888023,2024-11-14 03:29:41 UTC,,,
0FQYBNSAPWW4TQJZG4RHEJQBXA,1179100.0,2888023,2024-11-14 03:34:20 UTC,,,
0FQYBRDYGPDYJSH78CFZFPSAV4,1179390.0,2888023,2024-11-14 03:38:57 UTC,,,
0FQYBV30GTYMR1VPXTS8N063VN,1179640.0,2888023,2024-11-14 03:43:36 UTC,,,
0FQYBXQS94W92132281EN1XDVR,1179890.0,2888023,2024-11-14 03:48:14 UTC,,,
0FQYC0CJES82F57G5MQDWXP7PF,1180120.0,2888023,2024-11-14 03:52:51 UTC,,,
0FQYC31FTQT2HZ46QJW2KX3HTG,1180390.0,2888023,2024-11-14 03:57:30 UTC,,,
0FQYC5PDKRB0S3FRMJP4AHM0V5,1180650.0,2888023,2024-11-14 04:02:08 UTC,,,
0FQYC8B6MB4ZSSWBBG92S3PR5Q,1180980.0,2888023,2024-11-14 04:06:46 UTC,,,
0FQYCB043NBTDQRBXZ40AH523R,1181230.0,2888023,2024-11-14 04:11:24 UTC,,,
0FQYCDMWSGWG2H9CSCNKTFVX6R,1181570.0,2888023,2024-11-14 04:16:02 UTC,,,
0FQYCG9TFR0GR32DR6GRE1TSVV,1181770.0,2888023,2024-11-14 04:20:40 UTC,,,
0FQYCJYK1Y1FB711BDV6NNYVFZ,1182000.0,2888023,2024-11-14 04:25:18 UTC,,,
0FQYCNKG90GQ2NGXZ41RH3PBYR,1182260.0,2888023,2024-11-14 04:29:56 UTC,,,
0FQYCR89AZKV716X1BXD4779Y4,1182530.0,2888023,2024-11-14 04:34:34 UTC,,,
0FQYCTX6G7HVP8JCTRPAYNQRHG,1182820.0,2888023,2024-11-14 04:39:12 UTC,,,
0FQYCXHZ2GR275VWR0C5FDVJGE,1183120.0,2888023,2024-11-14 04:43:50 UTC,,,
0FQYD06R47KNG4TZ8WFAE8MCBS,1183380.0,2888023,2024-11-14 04:48:28 UTC,,,
0FQYD2VNASF4MT2TX2BJQFQ3F8,1183560.0,2888023,2024-11-14 04:53:06 UTC,,,
0FQYD5GJYY4V6SFNHJ5P2B152F,1183830.0,2888023,2024-11-14 04:57:44 UTC,,,
0FQYD85BXP92YWN4Q68VF7S6ZD,1184070.0,2888023,2024-11-14 05:02:22 UTC,,,
0FQYDAVSRN46H3M5A8P3NYGKCC,1184300.0,2888023,2024-11-14 05:07:05 UTC,,,
0FQYDDJDEZ40DRW3B9PF5CBBMZ,1184580.0,2888023,2024-11-14 05:11:49 UTC,,,
0FQYDG76VSR0VVPPCB6661BJWQ,1184870.0,2888023,2024-11-14 05:16:27 UTC,,,
0FQYDJW3XJCBMGFTMAD6HEZTXN,1185110.0,2888023,2024-11-14 05:21:05 UTC,,,
0FQYDNGWWHG2T4N8QWW28CR7DG,1185310.0,2888023,2024-11-14 05:25:43 UTC,,,
0FQYDR5NP3CVRK41WBB30FK6RP,1185600.0,2888023,2024-11-14 05:30:21 UTC,,,
0FQYDTVYJEX1NM5FDY5W3NPETV,1185880.0,2888023,2024-11-14 05:35:04 UTC,,,
0FQYDXGW2ERKSYCNMQMKNJ4XEQ,1186070.0,2888023,2024-11-14 05:39:42 UTC,,,
