start date,end date,data source,R,t0,P2P raw,P2P corrected,P2P simple,P2P no t0,degrees per lb,offset,data points,temp raw ptptemp corr ptp
2024-12-12,2024-12-13,temp,0.0025,14.5,1.2491695740721767,0.46102054724012476,0.8212470593599761,3.1057895239128186,-1.3202599828956214,118.09684729415038,72,22.0465,0.9652712691501506
2024-12-13,2024-12-14,temp,0.0025,2.0,1.1396248806060143,0.23750897652779912,1.4400071641955492,0.2961854645029405,-1.5825027764455157,128.77241780802441,72,17.1044,0.7319480048687552
2024-12-14,2024-12-15,temp,0.01489999999999998,-1.5,0.43735933692843787,0.20030565235358466,0.5073362401321049,0.20530892259509415,-0.03760488391002698,51.734631620790125,65,33.6103,12.423842997085664
2024-12-15,2024-12-16,temp,0.0025,-3.0,2.1573276838150193,0.16352826661848496,2.372476995507853,0.31244784326393216,-7.8479338834959504,466.9971644108796,45,31.023400000000002,0.26063231701440515
2024-12-16,2024-12-17,temp,0.0025,-5.0,0.5311022071839915,0.23410233629161326,0.5005527797489862,0.444199578614338,-0.6790494877890901,86.7971333328074,123,26.370799999999996,0.7303449861653064
2024-12-17,2024-12-18,temp,0.011099999999999987,14.5,1.1159194615540926,0.3107287832612755,1.05451232423124,0.8026733561246502,-0.037460390496975214,51.739892359605854,482,48.436600000000006,30.582556403971502
2024-12-18,2024-12-19,temp,0.0027999999999999995,2.5,0.9661075881194279,0.8076836461875985,0.9784963513441838,0.8159625177600134,0.017427345958805643,49.121979751394264,576,26.216499999999996,14.471173213053582
2024-12-19,2024-12-20,temp,0.008699999999999989,10.0,0.9523112892338332,0.20481347903639602,0.8295424155380786,0.4279640530410376,-0.046480590499028834,52.249425187176726,570,36.892199999999995,21.167868342720652
2024-12-20,2024-12-21,temp,0.003199999999999999,-7.5,1.3585579243400332,0.298549855733782,1.3740177918888037,0.6511057803827356,-0.12277800722996467,55.492784180565735,662,43.16629999999999,10.168666069558071
2024-12-21,2024-12-22,temp,0.006399999999999993,5.5,1.260105968104348,0.13096761283008362,1.2755947173446174,0.396746275217275,-0.06746497664904827,53.256403112952874,592,45.830400000000004,19.950261230929918
2024-12-22,2024-12-23,temp,0.0025,-0.5,1.8092827305591257,0.9179583461541654,1.7763679658506817,0.9395435608927727,-0.46695348151652966,75.80628907479932,267,39.401799999999994,4.5465919452320165
2024-12-23,2024-12-24,temp,0.0025,14.5,0.4762571964059177,0.2561019332408847,0.6252383863035647,0.5811157464302568,-0.39963254779281465,79.68053786727108,100,22.7994,1.5395695690991857
2024-12-24,2024-12-25,temp,0.01489999999999998,5.0,2.0580375942268745,0.2217513966985294,1.1367214455895223,0.2447754606917485,-0.12257917088004547,56.13130005835547,591,13.7453,17.84379866720304
2024-12-25,2024-12-26,temp,0.0025,-4.5,1.0418258599637937,0.09145726318734404,1.0135338877252522,0.6145515419828769,-0.23205531764768056,60.7919192924777,592,16.795500000000004,4.909122916174617
2024-12-26,2024-12-27,temp,0.0025,-2.0,1.0924789117621856,0.481422659229807,0.9408640420972603,0.4947658992960271,-0.27777316187605655,62.80266574244281,584,21.7376,3.973818692903606
2024-12-27,2024-12-28,temp,0.01439999999999998,-1.0,0.7770167026991359,0.3110409266759788,0.48610060364898544,0.31365394952246106,-0.04318695224881627,52.296153077249876,580,22.548499999999997,16.060907872842137
2024-12-28,2024-12-29,temp,0.01489999999999998,10.5,0.8887150470295282,0.08936611764676883,0.38959351146971244,0.31580216111060366,-0.03803048441276203,52.169475986145585,375,16.0426,22.72451840459574
2024-12-29,2024-12-30,temp,0.0025,0.5,77.99547258327298,0.17987526438206203,12.731436446556728,0.18240612118411548,-409.6274784012421,22848.74192010976,22,20.193200000000004,0.2379741978094927
2024-12-30,2024-12-31,temp,0.0025,14.5,55.30290676630527,2.7797878052117255,21.021520491345385,17.452304451323478,-14.979253319164318,1085.9807221282736,216,18.494300000000003,0.8275086806528691
2024-12-31,2025-01-01,temp,0.006499999999999994,-8.0,1.1710242581843104,0.203534052361789,1.0322701399664425,0.2982638001615072,-0.06457219804700648,53.23347263226672,606,31.351599999999998,16.704844964633885
2025-01-01,2025-01-02,temp,0.0045999999999999965,-5.5,1.0823022338813573,0.08909467219205425,1.0558049958431397,0.4425928029391173,-0.13359076789093566,55.196645484956726,597,24.2473,8.265336616705177
2025-01-02,2025-01-03,temp,0.006099999999999994,-1.0,1.7352326686810358,0.37944566681061076,1.4287360337725659,0.38115739463093945,-0.09288042752850227,53.834326068525364,613,43.4559,21.264813228607714
2025-01-03,2025-01-04,temp,0.0025,-5.0,2.0753392779786353,0.7878360900865573,2.0529059726003425,0.8971820326687805,-0.7214351234325513,88.47789703899709,319,29.903699999999994,2.689824624742762
2025-01-04,2025-01-05,temp,0.0026,-1.0,1.1581415576690972,0.2636181324816036,1.1353798716587704,0.2972803255473764,-0.1958345783682304,59.73400450108076,603,29.729899999999994,5.547966461632477
2025-01-05,2025-01-06,temp,0.01489999999999998,14.5,0.9763731249902321,0.8567304231986341,0.9352007468234902,0.8863157675618325,-0.015494620904304575,50.79041603060829,621,34.6913,46.149863453313806
2025-01-06,2025-01-07,temp,0.0026,-1.0,0.9587930041450718,0.14332831071484975,0.9552490804991507,0.2035142707677977,-0.14480174850984187,54.15421992167541,602,31.6026,6.468619040856346
2025-01-07,2025-01-08,temp,0.010099999999999987,-2.0,0.5812218774761533,0.07150883279413733,0.5327663673025995,0.12664663501995221,-0.045341194518770486,51.45963040779507,619,19.0928,13.76551507281771
