start date,end date,data source,R,t0,P2P raw,P2P corrected,P2P simple,P2P no t0,data points
2024-10-18,2024-10-19,temp,0.0025,0.5,73.47796146990642,0.014211692314034963,1.2503933500933613,0.01839214788397925,65
2024-10-19,2024-10-20,temp,0.0025,-2.0,1121.2356636961995,3.4484129463382303,35.2863229296087,7.883503589130896,1767
2024-10-20,2024-10-21,temp,0.0025,-5.5,96.11663484089158,0.12516589186056848,2.8988234747205937,1.2872776165434487,93
2024-10-22,2024-10-23,temp,0.0025,13.5,33.188099793596585,0.5861388951105795,16.347042992225795,3.319231025024294,139
2024-10-23,2024-10-24,temp,0.0085,3.5,61.16761897427266,2.564681606134073,47.55126656250228,4.4067064353622385,1047
2024-10-24,2024-10-25,temp,0.0275,-4.0,94.08850013398211,3.217785854510538,9.785829179061771,4.598549525972729,669
2024-10-25,2024-10-26,temp,0.0025,-2.5,9.715995319724883,0.20402357008030947,12.430681574664199,0.332209169292625,94
2024-10-30,2024-10-31,temp,0.0025,-1.5,53.21086620977315,0.1049431069065534,6.995753099402627,0.49611939309950515,60
2024-10-31,2024-11-01,temp,0.0025,0.5,1.175140013192518,0.4611917661452267,1.0997818503863357,0.47086586267325004,524
2024-11-01,2024-11-02,temp,0.0025,-1.0,1.0871253835794477,0.2610152522079545,1.0015101863758673,0.26261629294773314,931
2024-11-02,2024-11-03,temp,0.0025,-12.0,3.603918442464092,0.8228903047907465,1.358227763932291,1.3161629992663535,136
2024-11-04,2024-11-05,temp,0.0025,2.5,52.9055814321548,0.08180624269157022,7.213607787172485,1.2258189676358668,58
