start date,end date,data source,R,t0,P2P raw,P2P corrected,P2P simple,P2P no t0,data points
2024-10-31,2024-11-01,temp,0.0025,0.5,1.175140013192518,0.4611917661452267,1.0997818503863357,0.47086586267325004,524
2024-11-01,2024-11-02,temp,0.0025,-1.0,1.0871253835794477,0.2610152522079545,1.0015101863758673,0.26261629294773314,931
2024-11-02,2024-11-03,temp,0.0025,-12.0,3.603918442464092,0.8228903047907465,1.358227763932291,1.3161629992663535,136
2024-11-04,2024-11-05,temp,0.0025,2.5,52.9055814321548,0.08180624269157022,7.213607787172485,1.2258189676358668,58
2024-11-17,2024-11-18,temp,0.0025,-3.0,0.8640791698356907,0.4099616576622722,0.8490801208926442,0.645534455461906,284
2024-11-19,2024-11-20,temp,0.0025,9.5,72.88898198751217,0.19491361202383217,8.191914548070017,0.9553214581475515,123
2024-11-20,2024-11-21,temp,0.0025,-4.5,131.90284177605778,7.095599012388526,86.60019825658402,7.252616180800899,356
2024-11-21,2024-11-22,temp,0.0075,7.5,1.7407041053149825,0.33243240137450414,1.821565565418588,1.0455958264233942,296
2024-11-22,2024-11-23,temp,0.0025,-12.0,53.16469542144691,8.300011375889312,34.47190245755411,39.251224885105465,179
2024-11-23,2024-11-24,temp,0.0495,6.5,1.7843180318371097,0.5991451205451312,1.4471720390849185,0.6103945753673656,183
2024-11-24,2024-11-25,temp,0.0495,-0.5,2.356526054515186,0.9960174030552764,1.095415175195562,1.0059165902768115,238
2024-11-25,2024-11-26,temp,0.036500000000000005,-2.5,1.6110948974763986,0.26772432667478085,0.6894511324408512,0.27684727401674536,278
2024-11-26,2024-11-27,temp,0.0025,-6.5,0.6164705127950754,0.43169698073905494,0.623832087185967,0.48968663747951524,258
2024-11-27,2024-11-28,temp,0.0025,-3.5,50.84074409919665,1.319945244117406,26.030729478186856,21.868925215688535,91
2024-12-01,2024-12-02,temp,0.0145,-12.0,38.93941572866962,40.63684265634802,46.10221058721051,41.49530296851678,88
2024-12-02,2024-12-03,temp,0.0025,5.5,0.1009735677334831,0.012616501171400785,0.1296443122783515,0.14697892615883745,15
